Id,Contract_Type,Gender,Marital_Status,Education_Level,Birth_Year,Age,Employment,Mobile_Number,Card_Number,Card_Expiry,Transaction_Device_Type,Card_Limit,Transaction_Amount,Transaction_Type,Transaction_Location,Card_Type,Card_Verification_Method,Monthly_Income,Annual_Income,EMI_Amount,Previous_Transaction_Count,Transaction_Hour,Is_Foreign_Transaction,Is_High_Transaction_Amount,Merchant_Risk_Score,Card_Usage_Location_Distance,Has_Recent_Card_Update,Transaction_Frequency_Weekday,Transaction_Frequency_Weekend,Fraud_Status
11,Fixed,Female,Divorced,Post Graduate,1976,46,Self-Employed,6789012345,6666666666666666,2027,Desktop,240000,8000,Purchase,Kolkata,Visa,Online,140000,1680000,2000,90,9,True,True,0.7,10,False,5,30,1
12,Fixed,Other,Married,Doctorate,1990,32,Employed,7890123456,7777777777777777,2028,Tablet,200000,5000,Transfer,Chennai,MasterCard,Offline,150000,1800000,5000,20,15,True,False,0.6,20,True,30,20,0
13,Variable,Male,Single,Graduate,1970,52,Unemployed,8901234567,8888888888888888,2029,Mobile,260000,1500,Withdrawal,Hyderabad,Visa,Online,170000,2040000,4000,80,16,True,True,0.5,30,False,10,40,1
14,Fixed,Female,Married,High School,1980,42,Employed,9012345678,9999999999999999,2023,Desktop,230000,6500,Purchase,Pune,MasterCard,Offline,160000,1920000,3000,60,14,False,False,0.4,40,True,5,50,0
15,Fixed,Other,Married,Graduate,1975,47,Self-Employed,0123456789,1111111111111111,2024,Tablet,210000,7500,Transfer,Mumbai,Visa,Online,180000,2160000,7000,50,8,True,False,0.3,50,False,15,15,1
16,Variable,Male,Single,Doctorate,1978,44,Unemployed,1234567890,3333333333333333,2025,Mobile,180000,4000,Withdrawal,Delhi,MasterCard,Offline,190000,2280000,4000,10,20,True,True,0.2,60,True,20,25,0
17,Fixed,Female,Divorced,Post Graduate,1982,40,Employed,2345678901,5555555555555555,2026,Desktop,190000,3000,Purchase,Bangalore,Visa,Online,200000,2400000,6000,40,10,False,False,0.1,70,False,30,10,1
18,Variable,Other,Married,High School,1985,37,Self-Employed,3456789012,6666666666666666,2027,Tablet,250000,5500,Transfer,Kolkata,MasterCard,Offline,220000,2640000,2000,30,6,True,True,0.9,80,False,10,20,0
19,Fixed,Male,Married,Graduate,1973,49,Unemployed,4567890123,7777777777777777,2028,Mobile,270000,6000,Withdrawal,Chennai,Visa,Online,210000,2520000,8000,70,18,False,True,0.8,90,True,20,30,1
20,Fixed,Female,Single,High School,1969,53,Employed,5678901234,8888888888888888,2029,Desktop,200000,2500,Purchase,Hyderabad,MasterCard,Offline,230000,2760000,5000,20,12,True,False,0.7,100,False,5,15,0
21,Fixed,Female,Single,Post Graduate,1978,45,Unemployed,7654321098,9999999999999999,2028,Desktop,220000,5500,Purchase,Delhi,Visa,Online,190000,2280000,4000,60,15,False,False,0.9,90,False,20,20,1
22,Variable,Male,Divorced,High School,1980,43,Self-Employed,8765432109,1111111111111111,2029,Tablet,230000,4000,Withdrawal,Bangalore,MasterCard,Offline,180000,2160000,3000,70,12,False,True,0.8,80,True,15,25,0
23,Fixed,Female,Married,Graduate,1975,48,Employed,9876543210,2222222222222222,2027,Mobile,240000,6500,Transfer,Mumbai,Visa,Online,200000,2400000,7000,50,18,True,False,0.7,70,False,30,10,1
24,Fixed,Other,Married,Doctorate,1985,37,Unemployed,1098765432,3333333333333333,2028,Desktop,250000,7500,Purchase,Chennai,MasterCard,Offline,220000,2640000,6000,30,10,True,True,0.6,60,True,25,20,0
25,Variable,Female,Divorced,Post Graduate,1973,49,Employed,2109876543,4444444444444444,2029,Mobile,260000,3000,Withdrawal,Kolkata,Visa,Online,210000,2520000,8000,70,8,False,False,0.5,50,True,10,30,1
26,Fixed,Male,Single,Graduate,1969,53,Self-Employed,3210987654,5555555555555555,2027,Tablet,270000,6000,Transfer,Hyderabad,MasterCard,Offline,220000,2640000,2000,30,20,True,True,0.4,40,False,15,10,0
27,Fixed,Female,Single,High School,1971,51,Employed,4321098765,6666666666666666,2028,Desktop,280000,2500,Purchase,Delhi,Visa,Online,240000,2880000,5000,20,12,False,False,0.3,30,False,20,15,1
28,Variable,Male,Married,High School,1984,38,Unemployed,5432109876,7777777777777777,2029,Mobile,290000,5500,Withdrawal,Bangalore,MasterCard,Offline,250000,3000000,4000,70,18,False,True,0.2,20,True,25,25,0
29,Fixed,Other,Married,Graduate,1970,52,Employed,6543210987,8888888888888888,2027,Tablet,300000,4000,Transfer,Mumbai,Visa,Online,260000,3120000,3000,80,16,True,False,0.1,10,False,10,30,1
30,Variable,Male,Divorced,Graduate,1963,59,Self-Employed,7654321098,9999999999999999,2028,Desktop,310000,6500,Purchase,Kolkata,MasterCard,Offline,270000,3240000,7000,50,8,True,True,0.9,90,True,15,20,0
41,Fixed,Female,Single,Post Graduate,1985,37,Employed,1234567890,2222222222222222,2029,Desktop,420000,5500,Purchase,Chennai,Visa,Online,380000,4560000,6000,60,20,False,True,0.7,70,False,20,30,1
42,Variable,Male,Single,High School,1978,44,Self-Employed,2345678901,3333333333333333,2026,Mobile,430000,6500,Withdrawal,Hyderabad,MasterCard,Offline,390000,4680000,4000,50,8,True,False,0.6,60,True,25,20,0
43,Fixed,Female,Married,Graduate,1973,49,Unemployed,3456789012,4444444444444444,2029,Tablet,440000,6000,Transfer,Delhi,Visa,Online,400000,4800000,2000,70,16,False,True,0.5,50,False,30,40,1
44,Fixed,Other,Married,Doctorate,1988,34,Employed,4567890123,5555555555555555,2027,Desktop,450000,4000,Purchase,Mumbai,MasterCard,Offline,410000,4920000,3000,10,12,True,False,0.4,40,True,10,15,0
45,Variable,Female,Divorced,Post Graduate,1977,45,Employed,5678901234,6666666666666666,2028,Mobile,460000,7500,Withdrawal,Kolkata,Visa,Online,420000,5040000,7000,80,18,False,True,0.3,30,True,20,25,1
46,Fixed,Male,Single,Graduate,1970,52,Self-Employed,6789012345,7777777777777777,2027,Tablet,470000,3000,Transfer,Bangalore,MasterCard,Offline,430000,5160000,5000,50,8,True,True,0.2,20,False,25,30,0
47,Fixed,Female,Single,High School,1982,40,Employed,7890123456,8888888888888888,2029,Desktop,480000,5500,Purchase,Chennai,Visa,Online,440000,5280000,4000,70,10,False,False,0.1,10,False,15,20,1
48,Variable,Male,Married,High School,1975,47,Unemployed,8901234567,9999999999999999,2028,Mobile,490000,7000,Withdrawal,Delhi,MasterCard,Offline,450000,5400000,2000,40,16,True,True,0.9,90,True,10,10,0
49,Fixed,Other,Married,Graduate,1971,51,Employed,9012345678,1111111111111111,2029,Tablet,500000,6000,Transfer,Mumbai,Visa,Online,460000,5520000,6000,50,14,False,True,0.8,80,False,20,25,1
50,Variable,Male,Divorced,Graduate,1965,57,Self-Employed,0123456789,2222222222222222,2028,Desktop,510000,7500,Purchase,Kolkata,MasterCard,Offline,470000,5640000,4000,70,8,True,False,0.7,70,True,25,30,0
51,Fixed,Female,Single,Post Graduate,1983,39,Employed,9876543210,3333333333333333,2029,Mobile,520000,3000,Withdrawal,Bangalore,Visa,Online,480000,5760000,3000,30,18,True,True,0.6,60,False,30,40,1
52,Variable,Male,Single,High School,1979,43,Unemployed,8765432109,4444444444444444,2027,Tablet,530000,5500,Transfer,Mumbai,MasterCard,Offline,490000,5880000,5000,60,20,True,False,0.5,50,True,10,15,0
53,Fixed,Female,Married,Graduate,1974,48,Employed,7654321098,5555555555555555,2028,Desktop,540000,4000,Purchase,Chennai,Visa,Online,500000,6000000,7000,70,12,False,True,0.4,40,False,20,25,1
54,Fixed,Other,Married,Doctorate,1989,33,Self-Employed,6543210987,6666666666666666,2029,Mobile,550000,6000,Withdrawal,Delhi,MasterCard,Offline,510000,6120000,2000,50,8,True,True,0.3,30,True,25,30,0
55,Variable,Female,Divorced,Post Graduate,1976,46,Employed,5432109876,7777777777777777,2028,Tablet,560000,7500,Transfer,Kolkata,Visa,Online,520000,6240000,4000,70,16,False,False,0.2,20,True,10,15,1
56,Fixed,Male,Single,Graduate,1968,54,Unemployed,4321098765,8888888888888888,2027,Desktop,570000,3000,Purchase,Bangalore,MasterCard,Offline,530000,6360000,3000,80,18,True,True,0.1,10,False,30,40,0
57,Fixed,Female,Single,High School,1981,41,Employed,3210987654,9999999999999999,2029,Mobile,580000,5500,Withdrawal,Mumbai,Visa,Online,540000,6480000,6000,50,14,False,True,0.9,90,False,20,25,1
58,Variable,Male,Married,High School,1976,46,Unemployed,2109876543,1111111111111111,2028,Tablet,590000,6000,Transfer,Delhi,MasterCard,Offline,550000,6600000,5000,60,8,True,False,0.8,80,True,25,30,0
59,Fixed,Other,Married,Graduate,1972,50,Employed,0987654321,2222222222222222,2029,Desktop,600000,4000,Purchase,Kolkata,Visa,Online,560000,6720000,4000,70,12,True,True,0.7,70,False,10,15,1
60,Variable,Male,Divorced,Graduate,1966,56,Self-Employed,9876543210,3333333333333333,2028,Mobile,610000,7500,Withdrawal,Chennai,MasterCard,Offline,570000,6840000,3000,50,16,True,False,0.6,60,True,30,40,0
61,Fixed,Female,Single,Post Graduate,1984,38,Employed,8765432109,4444444444444444,2029,Tablet,620000,3000,Transfer,Hyderabad,Visa,Online,580000,6960000,5000,60,18,False,True,0.5,50,False,20,25,1
62,Variable,Male,Single,High School,1980,42,Unemployed,7654321098,5555555555555555,2028,Desktop,630000,5500,Purchase,Delhi,MasterCard,Offline,590000,7080000,6000,70,14,True,False,0.4,40,True,25,30,0
63,Fixed,Female,Married,Graduate,1975,47,Employed,6543210987,6666666666666666,2029,Mobile,640000,4000,Withdrawal,Kolkata,Visa,Online,600000,7200000,4000,50,8,False,True,0.3,30,True,10,15,1
64,Fixed,Other,Married,Doctorate,1990,32,Self-Employed,5432109876,7777777777777777,2028,Tablet,650000,7500,Transfer,Bangalore,MasterCard,Offline,610000,7320000,3000,80,12,True,False,0.2,20,False,20,25,0
65,Variable,Female,Divorced,Post Graduate,1974,48,Employed,4321098765,8888888888888888,2029,Desktop,660000,6000,Purchase,Hyderabad,Visa,Online,620000,7440000,5000,50,16,True,True,0.1,10,True,25,30,1
66,Fixed,Male,Single,Graduate,1969,53,Unemployed,3210987654,9999999999999999,2028,Mobile,670000,5500,Withdrawal,Delhi,MasterCard,Offline,630000,7560000,6000,70,18,True,False,0.9,90,False,10,15,0
67,Fixed,Female,Single,High School,1981,41,Employed,2109876543,1111111111111111,2029,Tablet,680000,3000,Transfer,Mumbai,Visa,Online,640000,7680000,3000,60,8,False,True,0.8,80,False,20,25,1
68,Variable,Male,Married,High School,1976,46,Unemployed,0987654321,2222222222222222,2028,Desktop,690000,5500,Purchase,Kolkata,MasterCard,Offline,650000,7800000,4000,50,12,True,False,0.7,70,True,25,30,0
69,Fixed,Other,Married,Graduate,1972,50,Employed,9876543210,3333333333333333,2029,Mobile,700000,7500,Withdrawal,Chennai,Visa,Online,660000,7920000,5000,40,16,True,True,0.6,60,True,10,15,1
70,Variable,Male,Divorced,Graduate,1967,55,Self-Employed,8765432109,4444444444444444,2028,Tablet,710000,6000,Transfer,Delhi,MasterCard,Offline,670000,8040000,4000,80,20,False,False,0.5,50,False,25,30,0
71,Fixed,Female,Married,Post Graduate,1976,46,Employed,7654321098,5555555555555555,2029,Desktop,720000,4000,Purchase,Kolkata,Visa,Online,680000,8160000,3000,70,12,True,True,0.4,40,True,20,25,1
72,Fixed,Other,Married,Doctorate,1991,31,Self-Employed,6543210987,6666666666666666,2028,Mobile,730000,5500,Withdrawal,Hyderabad,MasterCard,Offline,690000,8280000,6000,60,18,True,False,0.3,30,False,10,15,0
73,Variable,Female,Divorced,High School,1975,47,Employed,5432109876,7777777777777777,2029,Tablet,740000,3000,Transfer,Bangalore,Visa,Online,700000,8400000,5000,50,8,False,True,0.2,20,True,25,30,1
74,Fixed,Male,Single,Post Graduate,1970,52,Unemployed,4321098765,8888888888888888,2028,Desktop,750000,6000,Purchase,Chennai,MasterCard,Offline,710000,8520000,4000,80,12,True,False,0.1,10,False,10,15,0
75,Fixed,Female,Single,Graduate,1980,42,Employed,3210987654,9999999999999999,2029,Mobile,760000,7500,Withdrawal,Delhi,Visa,Online,720000,8640000,3000,70,16,False,True,0.9,90,True,20,25,1
76,Variable,Male,Married,Graduate,1974,48,Unemployed,2109876543,1111111111111111,2028,Tablet,770000,5500,Transfer,Mumbai,MasterCard,Offline,730000,8760000,5000,50,20,True,False,0.8,80,False,25,30,0
77,Fixed,Other,Married,High School,1971,51,Employed,0987654321,2222222222222222,2029,Desktop,780000,6000,Purchase,Kolkata,Visa,Online,740000,8880000,4000,60,12,True,True,0.7,70,True,10,15,1
78,Variable,Male,Divorced,Post Graduate,1966,56,Self-Employed,9876543210,3333333333333333,2028,Mobile,790000,3000,Withdrawal,Hyderabad,MasterCard,Offline,750000,9000000,3000,50,8,True,False,0.6,60,True,25,30,0
79,Fixed,Female,Married,High School,1977,45,Employed,8765432109,4444444444444444,2029,Tablet,800000,7500,Transfer,Chennai,Visa,Online,760000,9120000,5000,70,16,True,True,0.5,50,False,30,35,1
80,Fixed,Other,Married,Doctorate,1992,30,Unemployed,7654321098,5555555555555555,2028,Desktop,810000,5500,Purchase,Delhi,MasterCard,Offline,770000,9240000,4000,80,20,True,False,0.4,40,True,15,20,0
81,Variable,Female,Divorced,Graduate,1977,45,Employed,6543210987,6666666666666666,2029,Mobile,820000,3000,Withdrawal,Mumbai,Visa,Online,780000,9360000,3000,50,8,False,True,0.3,30,True,20,25,1
82,Fixed,Male,Single,Post Graduate,1970,52,Employed,5432109876,7777777777777777,2029,Tablet,830000,6000,Transfer,Kolkata,MasterCard,Offline,790000,9480000,5000,60,12,False,False,0.2,20,False,25,30,0
83,Fixed,Female,Single,Graduate,1981,41,Self-Employed,4321098765,8888888888888888,2028,Desktop,840000,7500,Purchase,Bangalore,Visa,Online,800000,9600000,3000,70,16,True,True,0.1,10,True,10,15,1
84,Variable,Other,Married,High School,1975,47,Employed,3210987654,9999999999999999,2029,Mobile,850000,5500,Withdrawal,Hyderabad,MasterCard,Offline,810000,9720000,4000,50,20,True,False,0.9,90,False,25,30,0
85,Fixed,Male,Divorced,Post Graduate,1972,50,Unemployed,2109876543,1111111111111111,2028,Tablet,860000,6000,Transfer,Delhi,Visa,Online,820000,9840000,5000,60,12,False,True,0.8,80,True,30,35,1
86,Fixed,Female,Married,High School,1977,45,Employed,0987654321,2222222222222222,2029,Desktop,870000,3000,Purchase,Mumbai,MasterCard,Offline,830000,9960000,3000,70,16,True,False,0.7,70,True,15,20,0
87,Variable,Other,Married,Graduate,1973,49,Self-Employed,9876543210,3333333333333333,2028,Mobile,880000,6000,Withdrawal,Kolkata,Visa,Online,840000,10080000,5000,50,8,False,True,0.6,60,False,20,25,1
88,Fixed,Male,Single,Doctorate,1978,44,Employed,8765432109,4444444444444444,2029,Tablet,890000,7500,Transfer,Chennai,MasterCard,Offline,850000,10200000,4000,60,12,True,False,0.5,50,True,25,30,0
89,Fixed,Female,Single,Graduate,1982,40,Unemployed,7654321098,5555555555555555,2028,Desktop,900000,5500,Purchase,Delhi,Visa,Online,860000,10320000,3000,70,16,True,True,0.4,40,False,10,15,1
90,Variable,Other,Married,High School,1976,46,Employed,6543210987,6666666666666666,2029,Mobile,910000,3000,Withdrawal,Mumbai,MasterCard,Offline,870000,10440000,3000,50,20,True,False,0.3,30,True,25,30,0
91,Fixed,Male,Divorced,Post Graduate,1971,51,Employed,5432109876,7777777777777777,2029,Tablet,920000,6000,Transfer,Kolkata,Visa,Online,880000,10560000,4000,60,12,False,True,0.2,20,True,15,20,1
92,Fixed,Female,Married,High School,1988,34,Unemployed,4321098765,8888888888888888,2028,Desktop,930000,7500,Purchase,Hyderabad,MasterCard,Offline,890000,10680000,5000,70,16,True,False,0.1,10,False,20,25,0
93,Variable,Male,Married,Graduate,1974,48,Self-Employed,3210987654,9999999999999999,2029,Mobile,940000,5500,Withdrawal,Chennai,Visa,Online,900000,10800000,3000,50,8,True,True,0.9,90,True,25,30,1
94,Fixed,Other,Married,Graduate,1972,50,Employed,2109876543,1111111111111111,2028,Tablet,950000,3000,Transfer,Delhi,MasterCard,Offline,910000,10920000,4000,60,12,False,False,0.8,80,False,10,15,0
95,Fixed,Male,Single,Doctorate,1977,45,Employed,0987654321,2222222222222222,2029,Desktop,960000,6000,Purchase,Mumbai,Visa,Online,920000,11040000,5000,70,16,True,True,0.7,70,True,15,20,1
96,Variable,Female,Single,High School,1973,49,Unemployed,9876543210,3333333333333333,2029,Mobile,970000,7500,Withdrawal,Kolkata,MasterCard,Offline,930000,11160000,4000,50,20,False,True,0.6,60,False,20,25,0
97,Fixed,Other,Single,Graduate,1968,54,Employed,8765432109,4444444444444444,2028,Tablet,980000,5500,Transfer,Hyderabad,Visa,Online,940000,11280000,3000,70,8,False,False,0.5,50,True,25,30,1
98,Fixed,Female,Married,High School,1983,39,Employed,7654321098,5555555555555555,2029,Desktop,990000,3000,Purchase,Chennai,MasterCard,Offline,950000,11400000,4000,60,12,True,True,0.4,40,True,10,15,0
99,Variable,Male,Married,Graduate,1979,43,Unemployed,6543210987,6666666666666666,2029,Mobile,1000000,6000,Withdrawal,Delhi,Visa,Online,960000,11520000,5000,70,16,True,False,0.3,30,False,15,20,1
100,Fixed,Other,Married,Graduate,1974,48,Self-Employed,5432109876,7777777777777777,2029,Tablet,1010000,7500,Transfer,Mumbai,MasterCard,Offline,970000,11640000,4000,50,20,True,True,0.2,20,True,20,25,0
101,Fixed,Female,Single,High School,1979,43,Employed,6543210987,8888888888888888,2024,Desktop,200000,5500,Purchase,Mumbai,Visa,Online,120000,1440000,3000,40,5,False,True,0.9,10,False,10,15,0
102,Variable,Male,Married,Post Graduate,1985,37,Unemployed,5432109876,9999999999999999,2025,Mobile,250000,6000,Withdrawal,Delhi,MasterCard,Offline,130000,1560000,5000,70,20,True,False,0.8,20,True,20,25,1
103,Fixed,Other,Single,Doctorate,1983,39,Self-Employed,4321098765,1111111111111111,2023,Tablet,300000,3000,Transfer,Kolkata,Visa,Online,140000,1680000,4000,50,15,True,False,0.7,30,True,25,30,0
104,Fixed,Female,Married,Graduate,1980,42,Employed,3210987654,2222222222222222,2026,Desktop,350000,7500,Purchase,Chennai,MasterCard,Offline,150000,1800000,3000,60,10,False,True,0.6,40,False,10,15,1
105,Variable,Male,Single,High School,1972,50,Unemployed,2109876543,3333333333333333,2027,Mobile,400000,5500,Withdrawal,Bangalore,Visa,Online,160000,1920000,5000,70,5,False,False,0.5,50,True,20,25,0
106,Fixed,Other,Married,Graduate,1989,33,Employed,1098765432,4444444444444444,2028,Tablet,450000,6000,Transfer,Hyderabad,MasterCard,Offline,170000,2040000,4000,40,20,True,True,0.4,60,True,25,30,1
107,Fixed,Female,Married,Post Graduate,1986,36,Self-Employed,9876543210,5555555555555555,2029,Desktop,500000,3000,Purchase,Delhi,Visa,Online,180000,2160000,3000,50,15,True,False,0.3,70,False,10,15,0
108,Variable,Male,Divorced,High School,1984,38,Employed,8765432109,6666666666666666,2024,Mobile,550000,7500,Withdrawal,Mumbai,MasterCard,Offline,190000,2280000,5000,60,10,True,True,0.2,80,True,20,25,1
109,Fixed,Other,Single,Graduate,1978,44,Unemployed,7654321098,7777777777777777,2025,Tablet,600000,5500,Transfer,Kolkata,Visa,Online,200000,2400000,4000,70,5,False,False,0.1,90,False,25,30,0
110,Fixed,Female,Married,Doctorate,1975,47,Employed,6543210987,8888888888888888,2026,Desktop,650000,3000,Purchase,Hyderabad,MasterCard,Offline,210000,2520000,3000,40,20,True,True,0.9,100,True,10,15,1
111,Variable,Male,Married,Post Graduate,1980,42,Self-Employed,5432109876,9999999999999999,2027,Mobile,700000,6000,Withdrawal,Chennai,Visa,Online,220000,2640000,5000,50,15,True,False,0.8,10,False,20,25,0
112,Fixed,Other,Single,High School,1987,35,Employed,4321098765,1111111111111111,2028,Tablet,750000,7500,Transfer,Delhi,MasterCard,Offline,230000,2760000,4000,60,10,True,True,0.7,20,True,25,30,1
113,Fixed,Female,Married,Graduate,1976,46,Unemployed,3210987654,2222222222222222,2029,Desktop,800000,3000,Purchase,Mumbai,Visa,Online,240000,2880000,3000,70,5,False,False,0.6,30,False,10,15,0
114,Variable,Male,Single,Post Graduate,1974,48,Employed,2109876543,3333333333333333,2024,Mobile,850000,5500,Withdrawal,Kolkata,MasterCard,Offline,250000,3000000,5000,40,20,False,True,0.5,40,True,20,25,1
115,Fixed,Other,Married,High School,1982,40,Employed,1098765432,4444444444444444,2025,Tablet,900000,6000,Transfer,Hyderabad,Visa,Online,260000,3120000,4000,50,15,True,False,0.4,50,True,25,30,0
116,Fixed,Female,Married,Graduate,1979,43,Self-Employed,0987654321,5555555555555555,2026,Desktop,950000,7500,Purchase,Delhi,MasterCard,Offline,270000,3240000,3000,60,10,True,True,0.3,60,False,10,15,1
117,Variable,Male,Single,Doctorate,1977,45,Unemployed,9876543210,6666666666666666,2027,Mobile,1000000,3000,Withdrawal,Mumbai,Visa,Online,280000,3360000,5000,70,5,False,True,0.2,70,True,20,25,0
118,Fixed,Other,Married,High School,1973,49,Employed,8765432109,7777777777777777,2028,Tablet,1050000,5500,Transfer,Kolkata,MasterCard,Offline,290000,3480000,4000,40,20,True,False,0.1,80,True,25,30,1
119,Fixed,Female,Married,Post Graduate,1988,34,Employed,7654321098,8888888888888888,2029,Desktop,1100000,6000,Purchase,Hyderabad,Visa,Online,300000,3600000,3000,50,15,False,True,0.9,90,False,10,15,0
120,Variable,Male,Single,Graduate,1972,50,Self-Employed,6543210987,9999999999999999,2024,Mobile,1150000,7500,Withdrawal,Chennai,MasterCard,Offline,310000,3720000,5000,60,10,True,False,0.8,100,True,20,25,1
121,Fixed,Other,Married,High School,1981,41,Unemployed,5432109876,1111111111111111,2025,Tablet,1200000,3000,Transfer,Delhi,Visa,Online,320000,3840000,4000,70,5,True,True,0.7,10,False,25,30,0
122,Fixed,Female,Married,Graduate,1976,46,Employed,4321098765,2222222222222222,2026,Desktop,1250000,5500,Purchase,Mumbai,MasterCard,Offline,330000,3960000,3000,40,20,False,False,0.6,20,True,10,15,1
123,Variable,Male,Single,High School,1974,48,Employed,3210987654,3333333333333333,2027,Mobile,1300000,7500,Withdrawal,Kolkata,Visa,Online,340000,4080000,5000,50,15,True,True,0.5,30,True,20,25,0
124,Fixed,Other,Married,Post Graduate,1989,33,Unemployed,2109876543,4444444444444444,2028,Tablet,1350000,3000,Transfer,Hyderabad,MasterCard,Offline,350000,4200000,4000,60,10,True,False,0.4,40,False,25,30,1
125,Fixed,Female,Married,Doctorate,1977,45,Employed,1098765432,5555555555555555,2029,Desktop,1400000,6000,Purchase,Delhi,Visa,Online,360000,4320000,3000,70,5,True,True,0.3,50,True,10,15,0
126,Variable,Male,Single,Graduate,1973,49,Self-Employed,0987654321,6666666666666666,2024,Mobile,1450000,5500,Withdrawal,Mumbai,MasterCard,Offline,370000,4440000,5000,40,20,False,False,0.2,60,False,20,25,1
127,Fixed,Other,Married,High School,1984,38,Employed,9876543210,7777777777777777,2025,Tablet,1500000,7500,Transfer,Kolkata,Visa,Online,380000,4560000,4000,50,15,False,True,0.1,70,True,25,30,0
128,Fixed,Female,Married,Graduate,1978,44,Unemployed,8765432109,8888888888888888,2026,Desktop,1550000,3000,Purchase,Hyderabad,MasterCard,Offline,390000,4680000,3000,60,10,False,False,0.9,80,False,10,15,1
129,Variable,Male,Single,Post Graduate,1980,42,Employed,7654321098,9999999999999999,2027,Mobile,1600000,5500,Withdrawal,Delhi,Visa,Online,400000,4800000,5000,70,5,True,True,0.8,90,True,20,25,0
130,Fixed,Other,Married,High School,1976,46,Self-Employed,6543210987,1111111111111111,2028,Tablet,1650000,7500,Transfer,Mumbai,MasterCard,Offline,410000,4920000,4000,40,20,True,False,0.7,100,True,25,30,1
131,Fixed,Female,Married,Graduate,1974,48,Employed,5432109876,2222222222222222,2029,Desktop,1700000,3000,Purchase,Kolkata,Visa,Online,420000,5040000,3000,50,15,True,True,0.6,10,False,10,15,0
132,Variable,Male,Single,Doctorate,1983,39,Unemployed,4321098765,3333333333333333,2024,Mobile,1750000,5500,Withdrawal,Hyderabad,MasterCard,Offline,430000,5160000,5000,60,10,False,False,0.5,20,True,20,25,1
133,Fixed,Other,Married,Graduate,1987,35,Employed,3210987654,4444444444444444,2025,Tablet,1800000,7500,Transfer,Delhi,Visa,Online,440000,5280000,4000,70,5,True,True,0.4,30,True,25,30,0
134,Fixed,Female,Married,High School,1982,40,Self-Employed,2109876543,5555555555555555,2026,Desktop,1850000,3000,Purchase,Mumbai,MasterCard,Offline,450000,5400000,3000,40,20,True,False,0.3,40,False,10,15,1
135,Variable,Male,Single,Graduate,1981,41,Employed,1098765432,6666666666666666,2027,Mobile,1900000,5500,Withdrawal,Kolkata,Visa,Online,460000,5520000,5000,50,15,False,True,0.2,50,True,20,25,0
136,Fixed,Other,Married,Post Graduate,1977,45,Unemployed,0987654321,7777777777777777,2028,Tablet,1950000,7500,Transfer,Hyderabad,MasterCard,Offline,470000,5640000,4000,60,10,False,True,0.1,60,True,25,30,1
